original,attacked
CC 2L,CC 2L
COCA COLA 2 LT,COCA COLA 2
COCA COLA 2 LT,CICA VOLA 2 PT
COCA COLA 2 LT,COLA COCA 2 LT
COCA COLA 2 LT,COCA COLA 2 LT
COKA COLA 2L,COKA 2L COLA
COKA COLA 2L,coka cola 2l
COKA COLA 2L,COLA
COKA COLA 2L,COKA COLA 2L
COCA-COLA 2LT,COCA COLA 2LT
COCA-COLA 2LT,COCA-COLZ 2LT
COCA-COLA 2LT,COCA-COLA 2LT
COCA-COLA 2LT,Coca-cola 2lt
COCACOLA 2 LITROS,COCACOLA 2 LITROS
COCACOLA 2 LITROS,COCACOLA 2 LIGROS
COCACOLA 2 LITROS,COCACOLA LITROS 2
CCA COLA 2L,CCA COLA 2L
CCA COLA 2L,Cca cola 2l
CCA COLA 2L,COLA CCA 2L
REFRIG COCA 2L,REFRIG 2L
REFRIG COCA 2L,Refrig coca 2l
REFRIG COCA 2L,COCA REFRIG 2L
REFRIG COCA 2L,REFRIG COCA 2L
COCA COLA DOIS LITROS,COCA COLA DOIS LITROS
COCA COLA DOIS LITROS,coca cola dois litros
COCA COLA DOIS LITROS,COCA COLA DOIA LITROS
COCA COLA DOIS LITROS,COCA COLA LITROS DOIS
REFRIG CC 2LT,RDFRIG CC 2LT
REFRIG CC 2LT,REFRIG 2LT CC
REFRIG CC 2LT,refrig cc 2lt
REFRIG CC 2LT,REFRIG CC 2LT
COCA COLA 2000ML,COVA COLA 2000ML
COCA COLA 2000ML,COCA COLA 2000ML
COCA COLA 2000ML,COLA COCA 2000ML
COCA COLA 2000ML,Coca cola 2000ml
COCA COLA 2000ML,COLA 2000ML
CADEADO PADO LT-50MM,CADESXO PQXO LT-50MM
CADEADO PADO LT-50MM,CADEADO LT-50MM PADO
CADEADO PADO LT-50MM,CADEADO PADO LT-50MM
CADEADO PADO LT-50MM,Cadeado pado lt-50mm
CADEADO PADO LT-50MM,PADO LT-50MM
CADEADO PADO LT-50MM,CADEADO PADO LT 50MM
CAD PDO LT50,CAD PFL LT50
